ANMOIS;APT;APT_NOM;APT_ZON;APT_PEQ;APT_PAX_dep;APT_PAX_arr;APT_PAX_tr;APT_FRP_dep;APT_FRP_arr;APT_NMVT_mxt;APT_NMVT_cgo;REGION
202212;LFBD;BORDEAUX-MERIGNAC;MT;429819;212912;207215;572;385,5;526,5;3135;111;Nouvelle-Aquitaine
202212;LFBE;BERGERAC-DORDOGNE-PERIGORD;MT;6333;3165;3168;0;0;0;58;0;Nouvelle-Aquitaine
202212;LFBH;LA ROCHELLE-ILE DE RE;MT;4449;2233;2216;0;0;0;66;1;Nouvelle-Aquitaine
202212;LFBI;POITIERS-BIARD;MT;4130;1659;2024;446;0,1;0;96;1;Nouvelle-Aquitaine
202212;LFBL;LIMOGES-BELLEGARDE;MT;7278;3644;3634;0;0;0;103;0;Nouvelle-Aquitaine
202212;LFBO;TOULOUSE-BLAGNAC;MT;673865;315149;314972;58;1650,3;2718,4;5424;343;Occitanie
202212;LFBP;PAU-PYRENEES;MT;32649;15166;16062;167;17,6;107,7;406;4;Nouvelle-Aquitaine
202212;LFBT;TARBES-LOURDES-PYRENEES;MT;29459;14599;14860;0;0;0;247;0;Occitanie
202212;LFBZ;BIARRITZ-PAYS-BASQUE;MT;49978;24363;25615;0;0;0;482;0;Nouvelle-Aquitaine
202212;LFCK;CASTRES-MAZAMET;MT;4227;2084;2143;0;0;0;124;0;Occitanie
202212;LFCR;RODEZ-AVEYRON;MT;3342;1631;1711;0;0;0;108;0;Occitanie
202212;LFGJ;DOLE-TAVAUX;MT;10076;5234;4842;0;0;0;62;0;Bourgogne-Franche-Comté
202212;LFJL;METZ-NANCY-LORRAINE;MT;6780;3553;3227;0;0;0;145;0;Grand Est
202212;LFKB;BASTIA-PORETTA;MT;86247;39352;40290;70;192,6;460,9;723;107;Corse
202212;LFKC;CALVI-STE-CATHERINE;MT;11267;5506;5756;0;0;0,5;182;0;Corse
202212;LFKF;FIGARI-SUD-CORSE;MT;18228;9178;8964;86;0;0;298;0;Corse
202212;LFKJ;AJACCIO-NAPOLEON-BONAPARTE;MT;83034;38067;39033;0;160,9;432,5;685;90;Corse
202212;LFLB;CHAMBERY-AIX-LES-BAINS;MT;21799;8015;13344;29;41,1;0;968;0;Auvergne-Rhône-Alpes
202212;LFLC;CLERMONT-FERRAND-AUVERGNE;MT;18998;8424;8543;1;203;0;309;4;Auvergne-Rhône-Alpes
202212;LFLJ;COURCHEVEL-MICHEL ZIEGLER;MT;1296;474;822;0;0;0;756;0;Inconnue
202212;LFLL;LYON-ST-EXUPERY;MT;775240;370494;358259;824;2413,4;2152,9;6269;349;Auvergne-Rhône-Alpes
202212;LFLS;GRENOBLE-ALPES-ISERE;MT;32737;13772;18947;18;0;0;473;0;Auvergne-Rhône-Alpes
