ANMOIS;APT;APT_NOM;APT_ZON;APT_PEQ;APT_PAX_dep;APT_PAX_arr;APT_PAX_tr;APT_FRP_dep;APT_FRP_arr;APT_NMVT_mxt;APT_NMVT_cgo;REGION
202301;FMCZ;MAYOTTE-MARCEL HENRY;OM;41503;16013;22511;0;27,2;270,7;369;0;Mayotte
202301;FMEE;LA REUNION-ROLAND GARROS;OM;287884;123934;136439;3262;843,9;1580,9;1341;1;La Réunion
202301;FMEP;ST-PIERRE-PIERREFONDS;OM;2046;1023;1023;0;0;0;22;0;La Réunion
202301;LFAQ;ALBERT-BRAY;MT;1354;108;74;0;70,6;46,6;50;12;Hauts-de-France
202301;LFBD;BORDEAUX-MERIGNAC;MT;353043;172245;170265;1139;355,9;583,6;2708;88;Nouvelle-Aquitaine
202301;LFBE;BERGERAC-DORDOGNE-PERIGORD;MT;4017;2141;1876;0;0;0;50;0;Nouvelle-Aquitaine
202301;LFBH;LA ROCHELLE-ILE DE RE;MT;4156;2146;2010;0;0;0;81;0;Nouvelle-Aquitaine
202301;LFBI;POITIERS-BIARD;MT;3588;1618;1456;514;0;0;110;0;Nouvelle-Aquitaine
202301;LFBL;LIMOGES-BELLEGARDE;MT;11091;5862;5229;0;0;0;202;0;Nouvelle-Aquitaine
202301;LFBO;TOULOUSE-BLAGNAC;MT;577557;266181;262764;377;1749,3;3074,2;5050;336;Occitanie
202301;LFBP;PAU-PYRENEES;MT;28147;14475;13072;0;13,7;46,3;407;4;Nouvelle-Aquitaine
202301;LFBT;TARBES-LOURDES-PYRENEES;MT;22184;11374;10810;0;0;0;211;0;Occitanie
202301;LFBZ;BIARRITZ-PAYS-BASQUE;MT;45283;23958;21325;0;0;0;470;0;Nouvelle-Aquitaine
202301;LFCK;CASTRES-MAZAMET;MT;2887;1628;1259;0;0;0;100;0;Occitanie
202301;LFCR;RODEZ-AVEYRON;MT;2804;1498;1306;0;0;0;116;0;Occitanie
202301;LFGJ;DOLE-TAVAUX;MT;8755;4242;4513;0;0;0;60;0;Bourgogne-Franche-Comté
202301;LFJL;METZ-NANCY-LORRAINE;MT;6391;2873;3518;0;0;0;144;0;Grand Est
202301;LFKB;BASTIA-PORETTA;MT;67969;31553;31009;124;124,6;403,7;660;101;Corse
202301;LFKC;CALVI-STE-CATHERINE;MT;9507;5105;4398;0;0;0,4;175;0;Corse
202301;LFKF;FIGARI-SUD-CORSE;MT;14946;7974;6972;0;0;0;300;0;Corse
202301;LFKJ;AJACCIO-NAPOLEON-BONAPARTE;MT;64174;30440;29543;40;85;330,1;622;86;Corse
202301;LFLB;CHAMBERY-AIX-LES-BAINS;MT;42893;21179;20985;46;54,3;14;1303;0;Auvergne-Rhône-Alpes
202301;LFLC;CLERMONT-FERRAND-AUVERGNE;MT;23535;9384;8970;2;517,1;0,8;357;9;Auvergne-Rhône-Alpes
202301;LFLL;LYON-ST-EXUPERY;MT;690395;318943;331322;1022;1863,6;2047,2;5710;260;Auvergne-Rhône-Alpes
202301;LFLS;GRENOBLE-ALPES-ISERE;MT;60449;29179;31258;12;0;0;696;0;Auvergne-Rhône-Alpes
202301;LFLW;AURILLAC;MT;2436;1317;1119;0;0;0;103;0;Auvergne-Rhône-Alpes
202301;LFMK;CARCASSONNE-SALVAZA;MT;10473;5364;5109;0;0;0;84;0;Occitanie
202301;LFML;MARSEILLE-PROVENCE;MT;706406;323495;336464;3726;2224,4;2047,8;6117;535;Provence-Alpes-Côte d'Azur
202301;LFMN;NICE-COTE D'AZUR;MT;671108;335920;329450;764;390,1;107,3;7498;47;Provence-Alpes-Côte d'Azur
202301;LFMP;PERPIGNAN-RIVESALTES;MT;26306;13354;12952;0;0;0;186;0;Occitanie
202301;LFMT;MONTPELLIER-MEDITERRANEE;MT;105698;49067;51175;460;276;223,6;809;81;Occitanie
202301;LFMU;BEZIERS-VIAS;MT;7559;4004;3555;0;0;0;61;0;Occitanie
202301;LFOB;BEAUVAIS-TILLE;MT;404506;197206;207300;0;0;0;2448;0;Hauts-de-France
202301;LFOK;CHALONS-VATRY;MT;7256;1568;1640;0;220,1;184,7;26;47;Grand Est
202301;LFOT;TOURS-VAL DE LOIRE;MT;12501;6380;6121;0;0;0;93;0;Centre-Val de Loire
202301;LFPB;PARIS-LE BOURGET;MT;7890;3830;4060;0;0;0;4167;0;Île-de-France
202301;LFPG;PARIS-CHARLES DE GAULLE;MT;6079271;2371433;2346140;717;71899,8;64198,3;29719;3498;Île-de-France
202301;LFPO;PARIS-ORLY;MT;2252800;1063868;1135740;56;3509,6;1804;14620;1;Île-de-France
202301;LFQQ;LILLE-LESQUIN;MT;94145;45630;48453;59;0,3;0;743;0;Hauts-de-France
202301;LFRB;BREST-BRETAGNE;MT;49675;25639;23410;577;3,6;1,2;717;2;Bretagne
202301;LFRG;DEAUVILLE-NORMANDIE;MT;1806;859;729;218;0;0;39;0;Normandie
202301;LFRK;CAEN-CARPIQUET;MT;12827;6565;6259;0;0;0,3;196;1;Normandie
202301;LFRN;RENNES-ST-JACQUES;MT;50810;21720;21160;0;331,9;461,1;513;78;Bretagne
202301;LFRQ;QUIMPER-PLUGUFFAN;MT;1068;589;479;0;0;0;91;0;Bretagne
202301;LFRS;NANTES-ATLANTIQUE;MT;326597;159379;157360;391;439,6;507,1;2425;84;Pays de la Loire
